table,colname,sdesc,type,length,constraints
crash,ARRIVAL_TM ,Time police arrived at the scene ,TEXT ,4,HHMM 
crash,AUTOMOBILE_COUNT ,Total Amount of Automobiles Involved ,NUMBER ,2,
crash,BELTED_DEATH_COUNT ,Total Deaths of belted occupants ,NUMBER ,2,
crash,BELTED_MAJ_INJ_COUNT ,Total Major Injuries of belted occupants ,NUMBER ,2,
crash,BICYCLE_COUNT ,Total amount of Bicycles involved ,NUMBER ,2,
crash,BICYCLE_DEATH_COUNT ,Total amount of Bicyclist Fatalities ,NUMBER ,2,
crash,BICYCLE_MAJ_INJ_COUNT ,Total amount of Bicyclist Major Injuries ,NUMBER ,2,
crash,BUS_COUNT ,Total amount of Buses involved ,NUMBER ,2,
crash,COLLISION_TYPE ,Collision category that defines the crash ,TEXT ,1,See Column Code 
crash,COMM_VEH_COUNT ,Total Commercial vehicles involved ,NUMBER ,2,
crash,CONS_ZONE_SPD_LIM ,Speed limit for the Construction Zone ,TEXT ,2,
crash,COUNTY ,County Code Number where crash occurred ,TEXT ,2,See Column Code
crash,CRASH_MONTH ,Month when the crash occurred ,TEXT ,2,
crash,CRASH_YEAR ,Year when the crash occurred ,TEXT ,4,
crash,CRN ,Crash Record Number ,NUMBER ,2,*Key to data base records *
crash,DAY_OF_WEEK ,Day of the Week code when crash occurred ,TEXT ,1,See Column Code
crash,DEC_LAT ,Decimal format of the Latitude ,NUMBER ,2.4,Latitude expressed in decimal degrees 99.9999 
crash,DEC_LONG ,Decimal format of the Longitude ,NUMBER ,2.4,Longitude expressed in decimal degrees 99.9999 
crash,DISPATCH_TM ,Time police were dispatched to the scene ,TEXT ,4,HHMM (Hour Minute) 
crash,DISTRICT ,District Number where crash occurred (Based on County) ,TEXT ,2,See Column Code
crash,DRIVER_COUNT_16YR ,Total amount of 16 year old drivers ,NUMBER ,2,
crash,DRIVER_COUNT_17YR ,Total amount of 17 year old drivers ,NUMBER ,2,
crash,DRIVER_COUNT_18YR ,Total amount of 18 year old drivers ,NUMBER ,2,
crash,DRIVER_COUNT_19YR ,Total amount of 19year old drivers ,NUMBER ,2,
crash,DRIVER_COUNT_20YR ,Total amount of 20 year old drivers ,NUMBER ,2,
crash,DRIVER_COUNT_50_64YR ,Total amount of 50 to 64 year old drivers ,NUMBER ,2,
crash,DRIVER_COUNT_65_74YR ,Total amount of 65 to 74 year old drivers ,NUMBER ,2,
crash,DRIVER_COUNT_75PLUS ,Total amount of drivers ages 75 and up ,NUMBER ,2,
crash,EST_HRS_CLOSED ,Estimated hours roadway was closed ,TEXT ,1,HHSS 
crash,FATAL_COUNT ,Total amount of fatalities involved ,NUMBER ,2,
crash,HEAVY_TRUCK_COUNT ,Total amount of Heavy Trucks involved ,NUMBER ,2,
crash,HOUR_OF_DAY ,The hour of Day when the crash occurred ,TEXT ,2,00 to 23 
crash,ILLUMINATION ,Code that defines lighting at crash scene ,TEXT ,1,See Column Code
crash,INTERSECT_TYPE ,Code that defines the Intersection Type ,TEXT ,2,See Column Code
crash,LANE_CLOSED ,Was there a lane closure? (Y/N) ,TEXT ,1,1=Y
crash,LATITUDE ,GPS Latitude determined by PennDOT ,TEXT ,12,DD MM:SS.ddd
crash,LN_CLOSE_DIR ,Direction of traffic in closed lane (s) ,TEXT ,1,See Column Code
crash,LOCATION_TYPE ,Code that defines the crash location ,TEXT ,2,See Column Code
crash,LONGITUDE ,GPS Longitude determined by PennDOT (in negative degrees) ,TEXT ,12,DD MM:SS.ddd
crash,MAJ_INJ_COUNT ,Total amount of Major Injuries involved ,NUMBER ,2,
